0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-385.58768,63.372894,42.736588,18.500515,0.29077798,-6.326036,-2.068006,7.370485,15.09539,16.870762,12.86384,6.569007,1.9692118,0.93043053,2.4233747,3.805084,3.0301914,0.17580208,-2.7091267,-3.1914191
-391.46414,55.825867,37.166126,15.337619,-0.89259523,-6.482486,-2.1253676,6.9746475,14.560909,16.814747,13.884083,8.844767,5.1133337,4.1561236,4.918394,5.1062355,3.2062392,-0.2629321,-3.1151278,-3.1383033
-394.36603,52.100685,34.488262,14.092874,-0.795208,-5.695362,-1.7008399,6.020459,11.792158,12.71953,9.755484,6.1827555,4.836606,6.0725355,7.7862186,7.276888,3.4820223,-2.0598843,-6.1865945,-6.303995
-395.50232,51.20265,35.242664,16.353504,1.8835818,-3.833716,-1.1747558,5.7204227,11.741802,13.672104,11.4886055,7.583868,4.6981907,4.0429306,4.7814894,5.0143585,3.4078715,0.2648453,-2.6748517,-3.4888332
-393.89117,53.947124,38.99552,20.763924,5.8376174,-1.5310013,-1.0281395,4.2351193,9.862968,12.606344,11.733107,8.743577,5.8661256,4.431635,4.1561666,3.6658382,1.7602432,-1.5288448,-4.8200364,-6.2653522
-395.77768,51.96105,38.674366,22.152473,7.983651,-0.113404155,-1.6266811,1.1505094,4.849334,6.9811172,7.008426,6.057162,5.65335,6.4174337,7.578319,7.5659037,5.216536,0.7424993,-4.200632,-7.40989
-395.5432,51.569252,36.5022,18.11341,3.0486264,-4.3626842,-3.7461803,1.7970445,7.8280163,11.045988,10.727273,8.477422,6.681905,6.754382,8.279111,9.482908,8.603347,5.1901627,0.48765817,-3.3146105
-392.29062,55.592804,39.064804,19.000431,2.7864358,-4.788711,-3.3700676,3.4898152,10.711315,14.46189,13.798563,10.453758,7.174863,5.8085866,6.3156753,7.1841965,6.781055,4.6326265,1.7692312,-0.041025877
-390.5754,57.630836,40.136406,18.989452,2.0163178,-5.823741,-4.3092957,2.7487478,10.126383,14.065559,13.80806,11.154846,8.658178,7.7788343,8.163004,8.317553,7.014105,4.3459587,1.7090596,0.78284305
-393.6195,53.53639,36.56417,15.988411,-0.6195127,-8.385075,-6.9379377,0.20672011,8.067368,12.878311,13.565174,11.451677,8.745059,6.9600315,6.246743,5.824091,4.9571295,3.657094,2.6261947,2.5982256
-392.90192,54.84356,38.54955,18.549881,1.9014382,-6.7926216,-7.054908,-1.9681315,4.0549784,7.7392254,8.2769575,6.9906936,5.8526726,5.9832926,7.0754633,7.944042,7.624999,6.157195,4.511877,3.801271
-389.96524,59.19211,43.288124,23.394703,6.082038,-4.2478023,-6.872285,-4.2404327,0.0044419765,3.1612258,4.542652,5.067898,5.9321384,7.4138613,8.64136,8.377655,6.148414,2.8258579,0.20682073,-0.13817853
-385.00928,64.93193,45.786453,22.094372,2.0007675,-9.094608,-10.455469,-5.3957214,1.2153323,5.7111397,7.094141,6.625809,6.164118,6.549385,7.1134753,6.4893236,3.9745436,0.36908683,-2.3553371,-2.3320835
-387.48795,61.558624,42.802757,19.735888,0.45921233,-9.703516,-10.132242,-4.2924037,2.7895827,7.3409986,8.375461,7.323283,6.3438487,6.6041965,7.6275816,7.9634027,6.5206504,3.5353112,0.49729443,-0.85789454
-385.42627,64.59822,46.10704,23.197588,3.7538848,-6.929288,-8.037024,-2.7325344,4.1698003,8.8724575,10.140003,9.109147,7.8364973,7.701496,8.655219,9.596397,9.391904,7.7333426,5.276633,3.0909166
-382.66,68.43802,49.673508,26.16955,5.736244,-6.269165,-8.829229,-4.8508444,1.0458751,5.1277056,6.1112347,5.04858,3.9428225,4.1596766,5.6307926,7.183111,7.5665703,6.3789034,4.282732,2.469689
-380.33936,70.49713,48.82985,22.536259,1.0744704,-9.75742,-9.956816,-4.181724,1.6553857,3.8544598,2.4545228,0.21572632,0.07816076,2.9394097,7.163717,9.945055,9.405186,5.9209557,1.8225054,-0.22966057
-384.38168,64.759705,43.20318,17.532806,-2.5200973,-11.257497,-9.172003,-1.5670414,5.1979833,7.394763,5.4059544,2.4434042,1.7215667,4.125896,7.8469,9.984108,8.800035,4.9876623,1.131892,-0.14592814
-394.23862,52.626778,35.696957,15.5170765,-0.26801357,-7.130167,-5.340926,1.0693655,7.15675,9.841803,9.03344,6.741807,5.1266317,4.952447,5.411148,5.1821966,3.739485,1.857547,0.9801924,2.0143456
-399.84894,45.909126,32.042187,15.340387,1.9653609,-4.3053403,-3.4366708,1.6062868,6.9978237,10.164309,10.677162,9.67181,8.504034,7.710551,6.9256377,5.6000786,3.787787,2.3042026,2.1313078,3.5733802
-396.5209,50.092278,34.7601,15.99189,0.53720546,-7.1166625,-6.4000263,-0.24762201,6.9212227,11.560774,12.414791,10.4229555,7.4929805,5.0988717,3.5842175,2.4379265,1.1248772,-0.25344694,-0.9645263,-0.26248527
-395.00964,51.642925,34.899994,14.723629,-1.348771,-8.556117,-6.700206,0.5479878,8.156058,12.454058,12.565054,9.995334,7.000978,4.9765825,3.8743598,2.8146038,1.2137613,-0.51153165,-1.1860346,0.16691115
-396.12372,49.92691,32.927753,12.741463,-2.834911,-9.122412,-6.337765,1.3679643,8.763331,12.438091,12.1031685,9.81052,7.9451966,7.4811125,7.603096,6.7380605,4.071383,0.38465938,-2.3689027,-2.3999472
-394.48737,52.08368,34.649956,13.857878,-2.34163,-9.101448,-6.500277,1.3705361,9.223249,13.467997,13.552611,11.270319,8.86224,7.358536,6.210843,4.2358055,0.9710443,-2.6504822,-4.808191,-4.079746
-390.61194,57.31313,39.160675,17.295708,-0.13269585,-8.026262,-6.244273,1.2066436,8.93541,13.110422,12.942987,10.154663,7.1529894,5.301094,4.3640494,3.2574267,1.3160573,-0.9575432,-2.207559,-1.3080243
-387.92142,61.244926,43.34938,21.573528,3.7678638,-5.0975895,-4.766804,1.0581249,7.3447943,10.540691,9.985416,7.3769054,4.9839635,3.9568486,3.813179,3.2417357,1.4485867,-1.0242462,-2.6055014,-1.869428
-390.91583,57.243645,40.03952,19.34663,2.8163564,-4.930091,-4.03021,1.5734909,6.9356346,8.940663,7.537822,4.9087973,3.4233866,3.8851852,5.186262,5.4203815,3.5092888,0.128178,-2.7051606,-3.0407114
-394.53415,52.485683,36.243866,16.845089,1.6770197,-4.768089,-2.630079,4.1403723,10.444969,12.863345,11.060434,7.2093773,4.0972776,3.263401,4.293621,5.5064044,5.352502,3.495234,0.89992565,-0.98601866
-395.64432,51.082138,35.275448,16.41621,1.6999972,-4.521032,-2.4221785,4.123286,10.175448,12.498131,10.904383,7.6215076,5.354739,5.416769,7.0676193,8.306662,7.412554,4.1376944,-0.18328728,-3.5650835
-396.38074,49.855713,33.76879,15.109892,1.4041243,-3.3139002,-0.08919436,6.3509884,10.874411,10.9525585,7.6223717,4.0770555,3.092998,5.113949,8.185179,9.575239,7.801271,3.6187425,-0.62605506,-2.700563
-396.94006,48.841705,32.201096,12.9470215,-1.0718225,-5.6159945,-1.7359896,5.6356306,11.060947,11.738004,8.562968,4.749808,3.2184076,4.6091547,7.157766,8.28674,6.619424,2.9554358,-0.40230036,-1.3708463
-394.72473,51.77302,34.483795,14.090754,-1.4243847,-7.430495,-4.4637723,2.8786101,9.056139,10.721203,8.076862,3.9195728,1.2955751,1.4373322,3.2581468,4.5188246,3.6639395,0.98256,-1.6620528,-2.2384777
-393.6963,53.31739,36.181458,15.748388,-0.18665597,-6.93781,-4.7443027,2.1564808,8.40813,10.542787,8.4159,4.4846044,1.6964469,1.4907478,3.139572,4.644007,4.3707256,2.2282362,-0.37240258,-1.6262786
-392.2566,55.273483,37.95157,17.339268,1.2917681,-5.588072,-3.755517,2.3324375,7.282411,7.8981476,4.5780005,0.3734536,-1.4311038,0.4510489,4.6426377,8.251148,8.905589,6.2735195,2.1171646,-1.0173724
-392.34958,55.079002,37.595436,16.788008,0.57885134,-6.3901916,-4.567784,1.5792739,6.645527,7.414715,4.236658,0.076607704,-1.8785007,-0.3905666,3.222339,6.2476845,6.5602455,4.037464,0.519992,-1.5392463
-393.48904,53.26622,35.366905,14.348303,-1.5435729,-7.692977,-4.9107046,1.9131598,7.2123184,7.9872856,4.9857616,1.3824239,0.13052002,1.8749106,4.7487907,5.9931755,4.1126027,0.014244501,-3.6189885,-4.2102056
-391.43832,54.973114,34.14768,10.059771,-7.4108825,-12.853716,-7.4931026,2.4788976,10.077433,11.513805,7.685023,2.6170416,0.25058323,1.8242328,5.4521265,7.8789697,6.967147,3.1466384,-1.0541074,-2.889566
-394.35678,51.3181,31.759825,9.359835,-6.426817,-10.513079,-4.303997,5.912935,13.079954,13.380732,7.8382387,0.85043204,-3.0700598,-2.1314707,2.0286822,5.9305553,6.8232727,4.4465322,0.91806555,-0.9684548
-395.39645,50.560318,32.702908,11.953054,-3.2351813,-8.133141,-3.666308,4.877676,11.3506565,12.240193,8.147235,2.6291034,-0.556949,0.091236666,3.1702316,5.721596,5.471987,2.3819592,-1.4729805,-3.4692006
